                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.87103,                0.64761,                 1.2567,                0.84528,                0.84128,                0.86759,                0.60022,                 1.0715,                0.70055,                 1.6604,               0.008416,               0.008416,               0.008416
                     82,                0.87787,                   0.65,                 1.2708,                0.85157,                0.83075,                0.86063,                0.59796,                 1.0813,                 0.7082,                 1.6645,              0.0083962,              0.0083962,              0.0083962
                     83,                0.88561,                0.65003,                 1.2666,                0.80571,                 0.8667,                0.85635,                0.59578,                  1.059,                0.69925,                 1.6466,              0.0083764,              0.0083764,              0.0083764
                     84,                0.86086,                0.64534,                 1.2569,                0.83898,                0.84183,                0.87943,                 0.6124,                 1.0682,                0.68299,                 1.6526,              0.0083566,              0.0083566,              0.0083566
                     85,                0.85524,                0.63065,                 1.2501,                  0.858,                0.81958,                0.87776,                0.60947,                 1.0805,                0.67621,                 1.6748,              0.0083368,              0.0083368,              0.0083368
                     86,                0.87008,                0.64211,                 1.2576,                0.86472,                 0.8173,                0.86562,                0.60299,                  1.071,                0.68164,                 1.6714,               0.008317,               0.008317,               0.008317
                     87,                0.86603,                0.64305,                 1.2577,                0.84992,                0.81751,                0.85612,                0.59206,                 1.0946,                0.68935,                 1.7039,              0.0082972,              0.0082972,              0.0082972
                     88,                0.87152,                0.64476,                 1.2598,                0.83431,                0.83657,                0.86641,                0.60089,                   1.07,                0.67503,                 1.6723,              0.0082774,              0.0082774,              0.0082774
                     89,                0.85369,                0.64298,                  1.254,                0.83997,                0.83146,                0.87188,                0.60231,                 1.0866,                0.68159,                  1.684,              0.0082576,              0.0082576,              0.0082576
                     90,                0.87046,                0.64852,                 1.2563,                0.84227,                0.82384,                0.87112,                0.60308,                 1.0842,                0.69738,                 1.6838,              0.0082378,              0.0082378,              0.0082378
                     91,                0.85453,                0.64156,                 1.2522,                0.82839,                0.84998,                0.87521,                0.60091,                 1.0792,                0.69128,                 1.6766,               0.008218,               0.008218,               0.008218
                     92,                0.85433,                0.63164,                 1.2508,                0.85183,                0.83614,                0.87586,                0.60552,                 1.0693,                0.67117,                 1.6739,              0.0081982,              0.0081982,              0.0081982
                     93,                0.85465,                0.63396,                  1.246,                  0.847,                0.82528,                0.86092,                0.59763,                 1.0857,                0.69392,                  1.686,              0.0081784,              0.0081784,              0.0081784
                     94,                0.84735,                0.63122,                 1.2485,                0.86902,                0.85019,                0.87619,                 0.6104,                 1.0725,                0.65548,                 1.6852,              0.0081586,              0.0081586,              0.0081586
                     95,                0.85506,                0.62889,                  1.253,                0.87691,                0.84011,                0.86805,                0.60717,                 1.0755,                0.67687,                 1.6788,              0.0081388,              0.0081388,              0.0081388
                     96,                0.86166,                0.63613,                 1.2489,                0.86022,                0.84258,                0.87571,                0.60573,                 1.0726,                0.65369,                 1.6771,               0.008119,               0.008119,               0.008119
                     97,                0.85736,                0.63293,                 1.2524,                 0.8472,                0.83418,                0.87176,                0.60415,                 1.0844,                0.67497,                 1.6808,              0.0080992,              0.0080992,              0.0080992
                     98,                0.85357,                0.62861,                 1.2503,                0.85686,                0.85338,                0.87463,                0.60769,                 1.0621,                0.67594,                 1.6583,              0.0080794,              0.0080794,              0.0080794
                     99,                0.84427,                0.62098,                 1.2462,                0.85035,                0.84143,                0.86716,                0.60562,                 1.0635,                0.68755,                 1.6722,              0.0080596,              0.0080596,              0.0080596
                    100,                0.85846,                0.62636,                 1.2489,                0.83429,                0.85417,                0.86564,                0.60931,                 1.0609,                0.68418,                 1.6667,              0.0080398,              0.0080398,              0.0080398
                    101,                0.83207,                 0.6184,                 1.2383,                0.85391,                0.84146,                0.87144,                0.61252,                  1.067,                0.67652,                 1.6725,                0.00802,                0.00802,                0.00802
                    102,                0.85503,                0.62834,                 1.2531,                0.84111,                0.83593,                0.86079,                0.59632,                 1.0848,                0.68902,                 1.6743,              0.0080002,              0.0080002,              0.0080002
                    103,                 0.8526,                0.61881,                 1.2497,                 0.8745,                0.82294,                0.87501,                0.61415,                 1.0559,                 0.6693,                 1.6489,              0.0079804,              0.0079804,              0.0079804
                    104,                 0.8468,                0.62285,                 1.2386,                0.84844,                0.85468,                0.87062,                0.60788,                 1.0556,                0.66895,                 1.6505,              0.0079606,              0.0079606,              0.0079606
                    105,                0.84677,                0.62959,                  1.245,                0.84238,                0.85491,                0.86944,                0.60118,                 1.0684,                0.68682,                  1.658,              0.0079408,              0.0079408,              0.0079408
                    106,                 0.8561,                 0.6245,                 1.2426,                 0.8614,                0.82813,                0.87205,                0.60849,                 1.0616,                 0.6781,                 1.6536,               0.007921,               0.007921,               0.007921
                    107,                0.85226,                0.63234,                 1.2467,                0.86136,                0.83026,                 0.8622,                0.60761,                 1.0716,                0.68065,                 1.6651,              0.0079012,              0.0079012,              0.0079012
                    108,                0.85483,                0.62672,                 1.2501,                0.85584,                0.80638,                0.85777,                0.59779,                 1.0733,                0.69043,                 1.6608,              0.0078814,              0.0078814,              0.0078814
                    109,                0.85304,                0.62669,                 1.2438,                0.81323,                0.85194,                0.85765,                0.59494,                 1.0807,                0.68977,                 1.6777,              0.0078616,              0.0078616,              0.0078616
                    110,                0.83732,                0.61674,                 1.2374,                0.83355,                0.85778,                0.87095,                0.60343,                 1.0754,                0.67006,                  1.686,              0.0078418,              0.0078418,              0.0078418
                    111,                 0.8473,                0.62838,                 1.2406,                0.85786,                0.84018,                0.86888,                0.59989,                 1.0683,                 0.6603,                 1.6892,               0.007822,               0.007822,               0.007822
